month,datasets_created,Agency
2020-11-01,657,USDA
2020-12-01,4,USDA
2021-01-01,1,USDA
2021-05-01,1,USDA
2021-07-01,6,USDA
2021-08-01,8,USDA
2021-12-01,16,USDA
2022-05-01,9,USDA
2022-08-01,1,USDA
2022-11-01,434,USDA
2022-12-01,9,USDA
2023-02-01,1,USDA
2023-04-01,8,USDA
2023-06-01,2,USDA
2023-07-01,1,USDA
2023-08-01,1,USDA
2023-09-01,4,USDA
2023-10-01,3,USDA
2023-12-01,2,USDA
2024-02-01,1,USDA
2024-03-01,1204,USDA
2024-04-01,61,USDA
2024-05-01,116,USDA
2024-06-01,39,USDA
2024-08-01,10,USDA
2024-11-01,91,USDA
2024-12-01,46,USDA
2025-01-01,55,USDA
2025-04-01,21,USDA
