created_date,datasets_created,Agency
2023-01-01,1,EPA
2023-01-06,5,EPA
2023-01-07,2,EPA
2023-01-08,2,EPA
2023-01-14,2,EPA
2023-01-15,1,EPA
2023-01-16,1,EPA
2023-01-20,1,EPA
2023-01-23,3,EPA
2023-01-26,1,EPA
2023-01-28,4,EPA
2023-02-07,8,EPA
2023-02-10,7,EPA
2023-02-13,5,EPA
2023-02-16,1,EPA
2023-02-17,1,EPA
2023-02-18,2,EPA
2023-02-20,2,EPA
2023-02-24,2,EPA
2023-02-25,2,EPA
2023-02-26,3,EPA
2023-02-28,1,EPA
2023-03-03,2,EPA
2023-03-04,1,EPA
2023-03-09,3,EPA
2023-03-10,2,EPA
2023-03-11,1,EPA
2023-03-16,2,EPA
2023-03-18,5,EPA
2023-03-19,10,EPA
2023-03-25,6,EPA
2023-03-26,1,EPA
2023-03-27,2,EPA
2023-03-28,1,EPA
2023-03-31,3,EPA
2023-04-01,3,EPA
2023-04-02,1,EPA
2023-04-06,2,EPA
2023-04-08,3,EPA
2023-04-10,1,EPA
2023-04-15,8,EPA
2023-04-16,2,EPA
2023-04-17,3,EPA
2023-04-20,2,EPA
2023-04-22,2,EPA
2023-04-23,3,EPA
2023-04-29,6,EPA
2023-04-30,4,EPA
2023-05-04,4,EPA
2023-05-06,3,EPA
2023-05-07,2,EPA
2023-05-09,1,EPA
2023-05-12,1,EPA
2023-05-14,1,EPA
2023-05-15,2,EPA
2023-05-21,3,EPA
2023-05-22,1,EPA
2023-05-25,3,EPA
2023-05-29,1,EPA
2023-05-30,8,EPA
2023-06-02,2,EPA
2023-06-04,1,EPA
2023-06-05,2,EPA
2023-06-08,3,EPA
2023-06-09,1,EPA
2023-06-11,1,EPA
2023-06-12,1,EPA
2023-06-17,4,EPA
2023-06-23,2,EPA
2023-06-24,1,EPA
2023-06-25,3,EPA
2023-06-26,3,EPA
2023-06-29,2,EPA
2023-07-01,2,EPA
2023-07-02,2,EPA
2023-07-03,1,EPA
2023-07-05,1,EPA
2023-07-09,1,EPA
2023-07-16,8,EPA
2023-07-18,3,EPA
2023-07-20,3,EPA
2023-07-24,4,EPA
2023-07-25,6,EPA
2023-07-27,1,EPA
2023-07-29,1,EPA
2023-08-07,5,EPA
2023-08-12,1,EPA
2023-08-13,5,EPA
2023-08-20,2,EPA
2023-08-21,1,EPA
2023-08-24,11,EPA
2023-08-26,6,EPA
2023-08-28,6,EPA
2023-08-31,1,EPA
2023-09-01,2,EPA
2023-09-02,2,EPA
2023-09-03,7,EPA
2023-09-04,3,EPA
2023-09-08,5,EPA
2023-09-09,4,EPA
2023-09-11,5,EPA
2023-09-14,1,EPA
2023-09-15,3,EPA
2023-09-16,4,EPA
2023-09-17,3,EPA
2023-09-18,1,EPA
2023-09-19,1,EPA
2023-09-21,4,EPA
2023-09-22,3,EPA
2023-09-23,1,EPA
2023-09-24,1,EPA
2023-09-29,7,EPA
2023-09-30,2,EPA
2023-10-02,3,EPA
2023-10-03,68,EPA
2023-10-05,3,EPA
2023-10-10,16,EPA
2023-10-14,1,EPA
2023-10-15,2,EPA
2023-10-16,1,EPA
2023-10-17,1,EPA
2023-10-19,1,EPA
2023-10-20,2,EPA
2023-10-21,4,EPA
2023-10-22,2,EPA
2023-10-29,2,EPA
2023-10-30,6,EPA
2023-11-03,2,EPA
2023-11-05,1,EPA
2023-11-11,2,EPA
2023-11-14,7,EPA
2023-11-15,2,EPA
2023-11-16,4,EPA
2023-11-18,1,EPA
2023-11-20,4,EPA
2023-11-21,5,EPA
2023-11-24,6,EPA
2023-11-26,1,EPA
2023-12-01,4,EPA
2023-12-03,2,EPA
2023-12-09,2,EPA
2023-12-10,3,EPA
2023-12-12,1,EPA
2023-12-14,3,EPA
2023-12-15,3,EPA
2023-12-16,8,EPA
2023-12-17,1,EPA
2023-12-21,4,EPA
2023-12-22,2,EPA
2023-12-23,5,EPA
2023-12-28,3,EPA
2023-12-30,2,EPA
2024-01-01,1,EPA
2024-01-05,4,EPA
2024-01-06,1,EPA
2024-01-07,4,EPA
2024-01-08,7,EPA
2024-01-11,5,EPA
2024-01-13,5,EPA
2024-01-14,2,EPA
2024-01-19,1,EPA
2024-01-20,2,EPA
2024-01-21,1,EPA
2024-01-22,1,EPA
2024-01-25,1,EPA
2024-01-26,2,EPA
2024-01-28,5,EPA
2024-01-29,14,EPA
2024-01-31,1,EPA
2024-02-03,1,EPA
2024-02-05,1,EPA
2024-02-06,1,EPA
2024-02-08,2,EPA
2024-02-09,3,EPA
2024-02-11,2,EPA
2024-02-12,1,EPA
2024-02-15,7,EPA
2024-02-17,4,EPA
2024-02-18,5,EPA
2024-02-24,7,EPA
2024-02-26,3,EPA
2024-02-27,1,EPA
2024-02-29,2,EPA
2024-03-01,3,EPA
2024-03-02,1,EPA
2024-03-03,2,EPA
2024-03-04,1,EPA
2024-03-07,2,EPA
2024-03-08,4,EPA
2024-03-10,2,EPA
2024-03-12,1,EPA
2024-03-16,5,EPA
2024-03-17,2,EPA
2024-03-18,3,EPA
2024-03-21,2,EPA
2024-03-23,1,EPA
2024-03-24,1,EPA
2024-03-25,1,EPA
2024-03-30,1,EPA
2024-03-31,2,EPA
2024-04-01,2,EPA
2024-04-04,1,EPA
2024-04-05,6,EPA
2024-04-06,1,EPA
2024-04-07,7,EPA
2024-04-08,1,EPA
2024-04-11,3,EPA
2024-04-12,4,EPA
2024-04-13,3,EPA
2024-04-14,1,EPA
2024-04-19,1,EPA
2024-04-20,2,EPA
2024-04-22,3,EPA
2024-04-25,1,EPA
2024-04-26,1,EPA
2024-05-02,1,EPA
2024-05-03,4,EPA
2024-05-04,2,EPA
2024-05-09,2,EPA
2024-05-11,1,EPA
2024-05-12,7,EPA
2024-05-13,2,EPA
2024-05-14,1,EPA
2024-05-16,1,EPA
2024-05-18,1,EPA
2024-05-20,3,EPA
2024-05-23,3,EPA
2024-05-24,3,EPA
2024-05-25,1,EPA
2024-05-26,1,EPA
2024-05-27,4,EPA
2024-05-31,2,EPA
2024-06-04,5,EPA
2024-06-06,3,EPA
2024-06-08,1,EPA
2024-06-09,2,EPA
2024-06-15,1,EPA
2024-06-16,2,EPA
2024-06-17,1,EPA
2024-06-20,2,EPA
2024-06-22,1,EPA
2024-06-24,6,EPA
2024-06-27,9,EPA
2024-06-29,8,EPA
2024-06-30,1,EPA
2024-07-02,2,EPA
2024-07-04,1,EPA
2024-07-07,8,EPA
2024-07-08,2,EPA
2024-07-10,2,EPA
2024-07-14,1,EPA
2024-07-15,4,EPA
2024-07-18,2,EPA
2024-07-20,1,EPA
2024-07-26,1,EPA
2024-07-28,5,EPA
2024-07-29,4,EPA
2024-08-02,4,EPA
2024-08-03,3,EPA
2024-08-04,2,EPA
2024-08-05,2,EPA
2024-08-07,1,EPA
2024-08-08,3,EPA
2024-08-09,3,EPA
2024-08-11,1,EPA
2024-08-13,1,EPA
2024-08-16,2,EPA
2024-08-17,2,EPA
2024-08-19,1,EPA
2024-08-23,5,EPA
2024-08-24,4,EPA
2024-08-25,1,EPA
2024-08-26,2,EPA
2024-08-30,4,EPA
2024-08-31,4,EPA
2024-09-01,4,EPA
2024-09-02,2,EPA
2024-09-06,1,EPA
2024-09-07,2,EPA
2024-09-09,5,EPA
2024-09-12,1,EPA
2024-09-14,2,EPA
2024-09-15,2,EPA
2024-09-16,1,EPA
2024-09-20,9,EPA
2024-09-21,1,EPA
2024-09-22,2,EPA
2024-09-23,7,EPA
2024-09-26,1,EPA
2024-09-27,5,EPA
2024-09-30,4,EPA
2024-10-01,1,EPA
2024-10-03,2,EPA
2024-10-04,2,EPA
2024-10-05,2,EPA
2024-10-07,1,EPA
2024-10-11,1,EPA
2024-10-12,1,EPA
2024-10-13,1,EPA
2024-10-14,3,EPA
2024-10-18,3,EPA
2024-10-19,8,EPA
2024-10-20,1,EPA
2024-10-25,1,EPA
2024-10-27,3,EPA
2024-10-28,1,EPA
2024-10-31,2,EPA
2024-11-04,1,EPA
2024-11-09,1,EPA
2024-11-10,1,EPA
2024-11-11,1,EPA
2024-11-12,1,EPA
2024-11-15,2,EPA
2024-11-16,7,EPA
2024-11-17,12,EPA
2024-11-18,3,EPA
