created_date,datasets_created,Agency
2020-11-10,652,USDA-GOV
2020-12-10,4,USDA-GOV
2021-01-06,1,USDA-GOV
2021-05-14,1,USDA-GOV
2021-07-08,6,USDA-GOV
2021-08-04,8,USDA-GOV
2021-12-15,16,USDA-GOV
2022-05-14,9,USDA-GOV
2022-11-03,395,USDA-GOV
2022-12-07,9,USDA-GOV
2023-02-02,1,USDA-GOV
2023-04-03,8,USDA-GOV
2023-06-21,2,USDA-GOV
2023-07-01,1,USDA-GOV
2023-08-10,1,USDA-GOV
2023-09-21,4,USDA-GOV
2023-10-31,3,USDA-GOV
2023-12-30,2,USDA-GOV
2024-02-01,1,USDA-GOV
2024-03-30,1204,USDA-GOV
2024-04-10,54,USDA-GOV
2024-04-17,7,USDA-GOV
2024-05-02,40,USDA-GOV
2024-05-31,74,USDA-GOV
2024-06-29,38,USDA-GOV
2024-08-02,10,USDA-GOV
2024-11-02,88,USDA-GOV
2024-12-05,46,USDA-GOV
2025-01-01,25,USDA-GOV
2025-01-31,28,USDA-GOV
2025-04-21,19,USDA-GOV
2025-05-08,27,USDA-GOV
2025-06-05,35,USDA-GOV
2025-07-11,26,USDA-GOV
2025-08-05,15,USDA-GOV
