month,datasets_created,Agency
2020-11-01,26,Census
2020-12-01,33,Census
2021-01-01,223,Census
2021-10-01,22,Census
2022-11-01,3875,Census
2023-01-01,2,Census
2023-06-01,2062,Census
2023-12-01,33242,Census
2024-01-01,36623,Census
2024-04-01,1,Census
2024-05-01,1007,Census
